City	t-SNE-x	t-SNE-y
Amsterdam	-4.68411	3.74398
Athens	12.6443	-3.59763
Belgrade	5.88185	-0.782603
Berlin	-3.63883	-0.0830079
Bern	-1.97792	4.84018
Bratislava	1.27343	0.585995
Brussels	-1.70679	3.26675
Bucharest	1.55667	-0.573994
Budapest	4.4078	-0.569392
Chisinau	3.10854	0.553986
Copenhagen	-5.10315	2.68027
Dublin	-3.78691	2.18715
Helsinki	-8.3059	-1.0373
Istanbul	8.1154	-1.21151
Kyiv	-6.45889	0.237474
Lisbon	10.2242	-2.76745
Ljubljana	-0.586592	5.55889
London	-2.0925	0.0163476
Madrid	13.1982	-2.86263
Minsk	-10.8065	-2.56841
Moscow	-11.7094	-2.57098
Nicosia	11.2894	-4.446
Oslo	-10.8051	0.410966
Paris	-0.204211	-0.0366037
Podgorica	10.0209	0.550974
Prague	1.74276	2.42029
Pristina	1.99037	1.30656
Reykjavik	-9.06061	1.49124
Riga	-9.07913	-2.02553
Rome	8.74634	-2.07873
Sarajevo	-0.306905	3.58974
Skopje	4.6963	-1.70055
Sofia	2.32845	-1.45388
Stockholm	-11.6029	0.562629
Tallinn	-10.6577	-1.09584
Tirana	9.6067	-0.527738
Valletta	10.2288	-3.88724
Vienna	4.87051	1.30808
Vilnius	-7.41295	-1.79153
Warsaw	-5.71843	-0.204476
Zagreb	-0.225468	2.56151
